CODIGO,DESCRIPCION,CLAVE_PRODSERV,CLAVE_PRODSERV_DESC,CLAVE_UNIDAD,UNIDAD_DESC,CONFIANZA,ESTATUS
DC/M 4-1/2,DISCO DE CORTE/M (ESMERIL) MAQUITA,27112838,Disco de corte,H87,Pieza,MEDIA,POR CONFIRMAR
DDDDD,DFDFDFDFDFDFD,31161500,Tornillos,H87,Pieza,BAJA,POR CONFIRMAR
DFDF,SDSVDSDFDSF,31161500,Tornillos,H87,Pieza,BAJA,POR CONFIRMAR
DISCRT10120,"DISCO DE CORTE MULTIUSOS 10X5/8X1, 120 DIENTES MAKITA",27112838,Disco de corte,H87,Pieza,MEDIA,POR CONFIRMAR
DISCRT412BOSH,DISCO DE CORTE ABRASIVO 4 1/2 BOSH,27112838,Disco de corte,H87,Pieza,MEDIA,POR CONFIRMAR
DISCRT412MAKI,DISCO DE CORTE ABRASIVO 4 1/2 MAKITA,27112838,Disco de corte,H87,Pieza,MEDIA,POR CONFIRMAR
EFEFE,EFEFE,31161500,Tornillos,H87,Pieza,BAJA,POR CONFIRMAR
ERERE,EREREERERE,31161500,Tornillos,H87,Pieza,BAJA,POR CONFIRMAR
ESCMOSQBL38,"ESCUADRA 3/8 P/MOSQUITERO, C/BLANCO",30000000,Materiales y articulos de construccion (revisar),H87,Pieza,BAJA,POR CONFIRMAR
ESCMOSQBL516,"ESCUADRA 5/16 P/MOSQUITERO, C/BLANCO",30000000,Materiales y articulos de construccion (revisar),H87,Pieza,BAJA,POR CONFIRMAR
ESCMOSQGR38,"ESCUADRA 3/8 P/MOSQUITERO, C/GRIS",30000000,Materiales y articulos de construccion (revisar),H87,Pieza,BAJA,POR CONFIRMAR
ESCMOSQGR516,"ESCUADRA 5/16 P/MOSQUITERO, C/GRIS",30000000,Materiales y articulos de construccion (revisar),H87,Pieza,BAJA,POR CONFIRMAR
ESCMOSQN38,"ESCUADRA 3/8 P/MOSQUITERO, C/NEGRO",30000000,Materiales y articulos de construccion (revisar),H87,Pieza,BAJA,POR CONFIRMAR
ESCMOSQN516,"ESCUADRA 5/16 P/MOSQUITERO, C/NEGRO",30000000,Materiales y articulos de construccion (revisar),H87,Pieza,BAJA,POR CONFIRMAR
FH 10 X 1,PIJA P/LAMINA CABEZA PLANA PH 10 X 1,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
FH 10 X 1-1/2,PIJA P/LAMINA CABEZA PLANA PH 10 X 1 1/2,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
FH 10 X 1/2,PIJA P/LAMINA CABEZA PLANA FH 10 X 1/2,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
FH 10 X 2,PIJA P/LAMINA CABEZA PLANA PH 10 X 2,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
FH 10 X 2-1/2,PIJA P/LAMINA CABEZA PLANA PH 10 X 2 1/2,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
FH 10 X 3,PIJA P/LAMINA CABEZA PLANA PH 10 X 3,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
FH 10 X 3/4,TORNILLO CABEZA PLANA 10X3/14,31161500,Tornillos,H87,Pieza,MEDIA,POR CONFIRMAR
FH 12 X 1-1/2,PIJA 12x1 1/2 c/plana,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
FH 14 X 3,PIJA P/LAMINA CABEZA PLANA FH 14 X 3,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
FH 6 X 1-1/4,PIJA FRAME P/BROCA GALVANIZADA 6 X 1-1/4,31161507,Tornillos roscadores (pija punta de broca),H87,Pieza,ALTA,POR CONFIRMAR
FH 6 X 1/2,PIJA P/LAMINA CABEZA PLANA FH 6 X 1/2,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
FH 6 X 5/8,PIJA P/LAMINA CABEZA PLANA FH 6 X 5/8,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
FH 7 X 7/16,PIJA FRAME P/BROCA GALVANIZADA 7 X 7/16,31161507,Tornillos roscadores (pija punta de broca),H87,Pieza,ALTA,POR CONFIRMAR
FH 8 X 1,PIJA P/LAMINA CABEZA PLANA PH 8 X 1,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
FH 8 X 1-1/2,PIJA P/LAMINA CABEZA PLANA PH 8 X 1 1/2,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
FH 8 X 1-1/4,PIJA P/LAMINA CABEZA PLANA PH 8 X 11/4,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
FH 8 X 1/2,PIJA P/LAMINA CABEZA PLANA FH 8 X 1/2,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
FH 8 X 2,PIJA P/LAMINA CABEZA PLANA PH 8 X 2,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
FH 8 X 2-1/2,PIJA P/LAMINA CABEZA PLANA PH 8 X 2 1/2,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
FH 8 X 3,PIJA P/LAMINA CABEZA PLANA PH 8 X 3,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
FH 8 X 3/4,PIJA P/LAMINA CABEZA PLANA PH 8 X 3/4,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
FH INOX 10 X 2,"PIJA 10 X 2  C/PLANA, INOXIDABLE",31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
FH INOX 10 x 3,"PIJA 10X3 C/PLANA, INOXIDABLE",31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
FH INOX 14 x 3,"PIJA 14X3 C/PLANA, INOXIDABLE",31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
FLEJ,FLEJES DE PLASTICO,30000000,Materiales y articulos de construccion (revisar),H87,Pieza,BAJA,POR CONFIRMAR
HEX  3/8 X 3,TORNILLO HEXAGONAL LAG 3/8X3,31161500,Tornillos,H87,Pieza,MEDIA,POR CONFIRMAR
HEX  3/8 X 3 INOX,TORNILLO HEXAGONAL INOX 3/8X3,31161500,Tornillos,H87,Pieza,MEDIA,POR CONFIRMAR
JMFRAMEP7716,"PIJA 7X7/16 FRAMER, P/BROCA, GALV",31161507,Tornillos roscadores (pija punta de broca),H87,Pieza,ALTA,POR CONFIRMAR
JMPCPPH122,PIJA 12x2 c/plana,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
JMPCPPH123,PIJA 12X3  C/PLANA,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
JMPCPPH142,PIJA 14X2 C/PLANA,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
JMPCPPH14212,PIJA 14X2 1/2 C/PLANA,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
JMPCPPH143,PIJA 14X3 C/PLANA,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
JMPF103,PIJA 10X3 C/COMBINADA FIJADORA,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
JMPF122,PIJA 12X2 C/COMBINADA FIJADORA,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
JMPPBJGO14114,"PIJA 1/4X1 1/4 C/HEXAGONAL, P/BROCA, JUEGO",31161507,Tornillos roscadores (pija punta de broca),H87,Pieza,ALTA,POR CONFIRMAR
JMPPBJGOS141,"PIJA 1/4X1 C/HEXAGONAL, P/BROCA JUEGO",31161507,Tornillos roscadores (pija punta de broca),H87,Pieza,ALTA,POR CONFIRMAR
JMPPBS141,"PIJA 1/4X1 C/HEXAGONAL, P/BROCA",31161507,Tornillos roscadores (pija punta de broca),H87,Pieza,ALTA,POR CONFIRMAR
JMPPBS14114,"PIJA 1/4X1 1/4 C/HEXAGONAL, P/BROCA",31161507,Tornillos roscadores (pija punta de broca),H87,Pieza,ALTA,POR CONFIRMAR
JMPPBS1434,"PIJA 1/4 X 3/4 C/HEXAGONAL, P/BROCA",31161507,Tornillos roscadores (pija punta de broca),H87,Pieza,ALTA,POR CONFIRMAR
JMTAQCUÑA516312,"TAQUETE ARPON/CUÑA GALV, 5/16X3 1/2",31162103,Anclajes de pared (taquetes),H87,Pieza,ALTA,POR CONFIRMAR
JMTAQMEZ12,TAQUETE METALICO PARA PANEL DE YESO 1/2,31162103,Anclajes de pared (taquetes),H87,Pieza,ALTA,POR CONFIRMAR
KL- 8 X 3/4,"PIJA K-LATH P/TABLERO 8 X 1, P/Broca C/Rondana",31161507,Tornillos roscadores (pija punta de broca),H87,Pieza,ALTA,POR CONFIRMAR
KL - 8 x 1,PIJA K-LATH P/TABLERO 8 X 1,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
LLAVE CONV 12-P,"LLAVE CONBINADA PULIDO ESPEJO DE MATRACA METRICA, 12PZ",27111701,Llaves de tuercas,H87,Pieza,BAJA,POR CONFIRMAR
MUELLEMOS,MUELLE MOSQUITERO,30000000,Materiales y articulos de construccion (revisar),H87,Pieza,BAJA,POR CONFIRMAR
NUEVO,NUEVO NUECVO,31161500,Tornillos,H87,Pieza,BAJA,POR CONFIRMAR
P1,Tornillo 1/4,31161500,Tornillos,H87,Pieza,MEDIA,POR CONFIRMAR
PCPPHINO X 142,"PIJA 14X2 C/PLANA, INOXIDABLE",31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
PCPPHINO X 14212,"PIJA 14X2 1/2 C/PLANA, INOXIDABLE",31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
PCPPHINO X 81,"PIJA 8X1 C/PLANA, INOXIDABLE",31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
PCPPHINO X 82,"PIJA 8X2 C/PLANA, INOXIDABLE",31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
PDH14,PUNTA DADO HEXAGONAL 1/4,27112700,Accesorios para herramientas manuales,H87,Pieza,BAJA,POR CONFIRMAR
PH 10 X 1,TORNILLO PAN HEAD 10 X 1,31161500,Tornillos,H87,Pieza,MEDIA,POR CONFIRMAR
PH 10 X 1-1/4,PIJA FIJADORA COMBINADA GALV. 10 X 1 1/4,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
PH 10 X 1/2,PIJA P/LAMINA CABEZA PAN HEAD PH 10 X 1/2,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
PH 12 X 3,TORNILLO PAN HEAD 12 X 3,31161500,Tornillos,H87,Pieza,MEDIA,POR CONFIRMAR
PH 6 X 1,TORNILLO PAN HEAD 6 X 1,31161500,Tornillos,H87,Pieza,MEDIA,POR CONFIRMAR
PH 8 X 1,TORNILLO PAN HEAD 8 X 1,31161500,Tornillos,H87,Pieza,MEDIA,POR CONFIRMAR
PH 8 X 1-1/2,TORNILLO PAN HEAD 8 X 1 1/2,31161500,Tornillos,H87,Pieza,MEDIA,POR CONFIRMAR
PH 8 X 1/2,TORNILLO PAN HEAD 8 X 1/2,31161500,Tornillos,H87,Pieza,MEDIA,POR CONFIRMAR
PH 8 X 3/4,TORNILLO PAN HEAD 8 X 3/4,31161500,Tornillos,H87,Pieza,MEDIA,POR CONFIRMAR
PH 8 X 3/8,TORNILLO PAN HEAD 8 X 3/8,31161500,Tornillos,H87,Pieza,MEDIA,POR CONFIRMAR
PH 8 X 5/8,PIJA FIJADORA COMBINADA GALV. 8 X 5/8,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
PH CONV 12 x 2-12,PIJA PAN HEAD 12X2 1/2 C/COBINADA,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
PH2 X 3-1/2 MW,PUNTA PHILLIPS PH2 X 3-1/2 MILWAUKEE,27112700,Accesorios para herramientas manuales,H87,Pieza,BAJA,POR CONFIRMAR
PH2 X 6,PUNTA PHILLIPS PH2X6,27112700,Accesorios para herramientas manuales,H87,Pieza,BAJA,POR CONFIRMAR
PHG10,PIJA 10X1 PHANHEAD,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
PHG61,PIJA 6X1 PHANHEAD,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
PHG81,PIJA 8X1 PHANHEAD,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
PHG8112,PIJA 8X1 1/2 PHANHEAD,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
PHG812,PIJA 8X1/2 PHANHEAD,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
PHG834,PIJA 8X3/4 PHANHEAD,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
PHG838,PIJA 8X3/8 PHANHEAD,31161506,Tornillos para lamina metalica,H87,Pieza,ALTA,POR CONFIRMAR
PPH23M,PUNTA PHILLIPS PH2X3 MAKITA,27112700,Accesorios para herramientas manuales,H87,Pieza,BAJA,POR CONFIRMAR
PPH24ML,PUNTA PHILLIPS PH2X4 MILWAUKEE,27112700,Accesorios para herramientas manuales,H87,Pieza,BAJA,POR CONFIRMAR
QQQ,QQQQ,31161500,Tornillos,H87,Pieza,BAJA,POR CONFIRMAR
REMBL44,REMACHE C/BLANCO No.44,31162201,Remaches ciegos,H87,Pieza,ALTA,POR CONFIRMAR
REMBL46,REMACHE C/BLANCO No.46,31162201,Remaches ciegos,H87,Pieza,ALTA,POR CONFIRMAR
REMN44,REMACHE C/NEGRO No.44,31162201,Remaches ciegos,H87,Pieza,ALTA,POR CONFIRMAR
REMN46,REMACHE C/NEGRO NO.46,31162201,Remaches ciegos,H87,Pieza,ALTA,POR CONFIRMAR
REMNAT44,REMACHE C/NATURAL No.44,31162201,Remaches ciegos,H87,Pieza,ALTA,POR CONFIRMAR
REMNAT46,REMACHE C/NATURAL No.46,31162201,Remaches ciegos,H87,Pieza,ALTA,POR CONFIRMAR
REPN10,REPUESTO DE NAVAJA UTIL 10 PZS,27111900,Cuchillos/navajas industriales,H87,Pieza,BAJA,POR CONFIRMAR
REPN100,REPUESTO DE NAVAJA UTIL 100 PZS,27111900,Cuchillos/navajas industriales,H87,Pieza,BAJA,POR CONFIRMAR
RFF,SDS,31161500,Tornillos,H87,Pieza,BAJA,POR CONFIRMAR
ROND INOX 1/4,RONDANA PLANA 1/4 INOXIDABLE.,31161807,Arandelas planas (rondanas planas),H87,Pieza,ALTA,POR CONFIRMAR
ROND INOX 3/4 X 1/4,RONDANA PLANA 3/4X1/4 INOXIDABLE,31161807,Arandelas planas (rondanas planas),H87,Pieza,ALTA,POR CONFIRMAR
ROND PLN GALV 1/4,RONDANA PLANA 1/4 GALV.,31161807,Arandelas planas (rondanas planas),H87,Pieza,ALTA,POR CONFIRMAR
RONDPLGALV38,RONDANA PLANA 3/8 GALV.,31161807,Arandelas planas (rondanas planas),H87,Pieza,ALTA,POR CONFIRMAR
RONDPRESGALV38,RONDANA DE PRESION 3/8 GALV,31161811,Arandelas de resorte (rondanas de presion),H87,Pieza,ALTA,POR CONFIRMAR
SDDS,SDSDD,31161500,Tornillos,H87,Pieza,BAJA,POR CONFIRMAR
SDSPLUSM144,BROCA P/CONCRETO SDS PLUS 1/4X4 MAKITA,27112841,Broca manual para metal,H87,Pieza,MEDIA,POR CONFIRMAR
SDSPLUSM146,BROCA P/CONCRETO SDS PLUS 1/4X6 MAKITA,27112841,Broca manual para metal,H87,Pieza,MEDIA,POR CONFIRMAR
TAQ1012,TAQUETE DE PLASTICO AZUL 1/4 #12 (CONICO),31162103,Anclajes de pared (taquetes),H87,Pieza,ALTA,POR CONFIRMAR
TAQARP 3/8 X 5,"TAQUETE ARPON/CUÑA GALV, 3/8X5",31162103,Anclajes de pared (taquetes),H87,Pieza,ALTA,POR CONFIRMAR
TAQGR14,TAQUETE PLASTICO C/GRIS 1/4,31162103,Anclajes de pared (taquetes),H87,Pieza,ALTA,POR CONFIRMAR
TAQNYLON12,TAQUETE NYLON/COLA DE COCHINO 1/2,31162103,Anclajes de pared (taquetes),H87,Pieza,ALTA,POR CONFIRMAR
TOR M6 INOX,TORNILLO M6 INOXIDABLE,31161500,Tornillos,H87,Pieza,MEDIA,POR CONFIRMAR
TUHE X GALV38,TUERCA HEXAGONAL 3/8 GALV,31161727,Tuercas hexagonales,H87,Pieza,ALTA,POR CONFIRMAR
VRG383,VARILLA ROSCADA 3/8X3 GALV.,31161618,Varilla roscada,H87,Pieza,ALTA,POR CONFIRMAR
Y PB 8 X 2 GAL,"PIJA 8X2 PARA YESO, P/BROCA, GALV",31161507,Tornillos roscadores (pija punta de broca),H87,Pieza,ALTA,POR CONFIRMAR
Y PB 8 X 3 GAL,"PIJA 8X3 PARA YESO, P/BROCA, GALV",31161507,Tornillos roscadores (pija punta de broca),H87,Pieza,ALTA,POR CONFIRMAR
